,urls
0,https://investidor10.com.br/fiis/aazq11/
1,https://investidor10.com.br/fiis/abcp11/
2,https://investidor10.com.br/fiis/afhi11/
3,https://investidor10.com.br/fiis/afof11/
4,https://investidor10.com.br/fiis/agrx11/
5,https://investidor10.com.br/fiis/aiec11/
6,https://investidor10.com.br/fiis/ajfi11/
7,https://investidor10.com.br/fiis/almi11/
8,https://investidor10.com.br/fiis/alzm11/
9,https://investidor10.com.br/fiis/alzr11/
10,https://investidor10.com.br/fiis/alzr11/
11,https://investidor10.com.br/fiis/apto11/
12,https://investidor10.com.br/fiis/apxm11/
13,https://investidor10.com.br/fiis/arfi11b/
14,https://investidor10.com.br/fiis/aroa11/
15,https://investidor10.com.br/fiis/arri11/
16,https://investidor10.com.br/fiis/arxd11/
17,https://investidor10.com.br/fiis/asrf11/
18,https://investidor10.com.br/fiis/atsa11/
19,https://investidor10.com.br/fiis/atwn11/
20,https://investidor10.com.br/fiis/azin11/
21,https://investidor10.com.br/fiis/bari11/
22,https://investidor10.com.br/fiis/bbfi11/
23,https://investidor10.com.br/fiis/bbfo11/
24,https://investidor10.com.br/fiis/bbgo11/
25,https://investidor10.com.br/fiis/bbig11/
26,https://investidor10.com.br/fiis/bbrc11/
27,https://investidor10.com.br/fiis/bcff11/
28,https://investidor10.com.br/fiis/bcff11/
29,https://investidor10.com.br/fiis/bcia11/
30,https://investidor10.com.br/fiis/bcri11/
31,https://investidor10.com.br/fiis/bdif11/
32,https://investidor10.com.br/fiis/bdiv11/
33,https://investidor10.com.br/fiis/bice11/
34,https://investidor10.com.br/fiis/bicr11/
35,https://investidor10.com.br/fiis/bidb11/
36,https://investidor10.com.br/fiis/bime11/
37,https://investidor10.com.br/fiis/bipd11/
38,https://investidor10.com.br/fiis/blca11/
39,https://investidor10.com.br/fiis/blcp11/
40,https://investidor10.com.br/fiis/blmg11/
41,https://investidor10.com.br/fiis/blur11/
42,https://investidor10.com.br/fiis/bmlc11/
43,https://investidor10.com.br/fiis/bnfs11/
44,https://investidor10.com.br/fiis/bodb11/
45,https://investidor10.com.br/fiis/bpff11/
46,https://investidor10.com.br/fiis/bplc11/
47,https://investidor10.com.br/fiis/bpml11/
48,https://investidor10.com.br/fiis/bprp11/
49,https://investidor10.com.br/fiis/brco11/
50,https://investidor10.com.br/fiis/brco11/
51,https://investidor10.com.br/fiis/brcr11/
52,https://investidor10.com.br/fiis/brev11/
